 Distance from Base (TBH),Address,Bikes Available,Latitude,Longitude,Station ID,Station Name,Station Plus-Codes,Station Status,Total Docks,Zipcode
1.4,"S Canal St & W Monroe St, Chicago, IL",0,41.88169,-87.63953,191,Canal St & Monroe St,86HJV9J6%2BM5,Deficit,27,60606
1.3,"S Canal St & W Adams St, Chicago, IL",46,41.879255,-87.639904,192,Canal St & Adams St,86HJV9H6%2BP2,Excess,47,60606
2.7,"E 29th St & S State St, Chicago, IL",5,41.841707,-87.626938,193,State St & 29th St,86HJR9RF%2BM6,Sufficient Quantity,11,60616
2.7,"N Wabash Ave & E Wacker Pl, Chicago, IL",16,41.886875,-87.62603,194,Wabash Ave & Wacker Pl,86HJV9PF%2BQH,Excess,19,60601
2.6,"N Columbus Dr & E Randolph St, Chicago, IL",14,41.884728,-87.619521,195,Columbus Dr & Randolph St,86HJV9MJ%2BV5,Deficit,55,60601
3.2,"Pioneer Court & Cityfront Plaza Dr, Chicago, IL",28,41.890573,-87.622072,196,Cityfront Plaza Dr & Pioneer Ct,86HJV9RH%2B65,Excess,31,60611
2.3,"Michigan Ave & E Madison St, Chicago, IL",8,41.882134,-87.625125,197,Michigan Ave & Madison St,86HJV9JF%2BVX,Deficit,19,60602
1.2,"W Madison St & S Green St, Chicago, IL",26,41.881892,-87.648789,198,Green St & Madison St,86HJV9J2%2BQF,Excess,27,60607
3,"E Grand Ave & N Wabash Ave, Chicago, IL",4,41.891466,-87.626761,199,Wabash Ave & Grand Ave,86HJV9RF%2BH7,Deficit,31,60654
5.3,"E 47th St & S Martin Luther King Dr, Chicago, IL",2,41.809851,-87.616279,200,MLK Jr Dr & 47th St,86HJR95M%2BWF,Deficit,11,60653
4.2,"S Indiana Ave & E 40th St, Chicago, IL",4,41.82168,-87.6216,201,Indiana Ave & 40th St,86HJR9CH%2BM9,Deficit,11,60653
0.5,"W 18th St & S Halsted St, Chicago, IL",0,41.85750568,-87.64599145,202,Halsted St & 18th St,86HJV953%2B2J,Deficit,15,60608
2.8,"W 21st St & S Western Ave, Chicago, IL",10,41.854109,-87.685838,203,Western Ave & 21st St,86HJV837%2BJM,Excess,15,60608
6.3,"S Prairie Ave & E Garfield Blvd, Chicago, IL",8,41.794853,-87.618691,204,Prairie Ave & Garfield Blvd,86HJQ9VJ%2BWG,Excess,11,60615
1.6,"W 18th St & S Paulina St, Chicago, IL",2,41.857901,-87.668745,205,Paulina St & 18th St,86HJV85J%2B5G,Deficit,15,60608
1.3,"S Archer Ave & S Halsted St, Chicago, IL",0,41.847203,-87.646795,206,Halsted St & Archer Ave,86HJR9W3%2BV7,Deficit,15,60616
1.6,"W 28th St & S Emerald Ave, Chicago, IL",13,41.84358,-87.645368,207,Emerald Ave & 28th St,86HJR9V3%2BCV,Excess,15,60616
1.4,"W Cullerton St & S Laflin St, Chicago, IL",14,41.85491458,-87.66355991,208,Laflin St & Cullerton St,86HJV83P%2BXH,Excess,15,60608
1.6,"S Archer Ave & S Normal Ave, Chicago, IL",11,41.849527,-87.640591,209,Normal Ave & Archer Ave,86HJR9X5%2BRQ,Excess,11,60616
3.3,"W Division St & Ashland Ave, Chicago, IL",22,41.90345,-87.667747,210,Ashland Ave & Division St,86HJW83J%2B9W,Excess,27,60622
3.3,"N St Clair St & E Erie St, Chicago, IL",5,41.89434514,-87.62279838,211,St. Clair St & Erie St,86HJV9VG%2BPV,Deficit,19,60611
2.6,"N Wells St & W Hubbard St, Chicago, IL",16,41.889906,-87.634266,212,Wells St & Hubbard St,86HJV9Q8%2BX7,Sufficient Quantity,31,60654
6.1,"N Leavitt St, Chicago, IL",13,41.91050937,-87.68238902,213,Leavitt St & North Ave,86HJW869%2B62,Excess,15,60618
3.4,"N Damen Ave & W Grand Ave, Chicago, IL",12,41.89239445,-87.67688513,214,Damen Ave & Grand Ave,86HJV8RF%2BX6,Sufficient Quantity,23,60622
2.6,"W Madison St & N Damen Ave, Chicago, IL",12,41.88137,-87.67493,215,Damen Ave & Madison St,86HJV8JG%2BG2,Excess,15,60612
4.8,"N California Ave & W Division St, Chicago, IL",7,41.903029,-87.697474,216,California Ave & Division St,86HJW833%2B62,Sufficient Quantity,15,60622
1.6,"Hyatt House Chicago / West Loop-Fulton Market, 105 N May St, Chicago, IL",4,41.88661649,-87.65803993,217,Elizabeth (May) St & Fulton St,86HJV8PR%2BJQ,Deficit,15,60607
1.5,"S Wells St & W 19th St, Chicago, IL",8,41.856802,-87.633879,218,Wells St & 19th St,86HJV948%2BPC,Excess,11,60616
4.7,"N Damen Ave & W Cortland St, Chicago, IL",18,41.915983,-87.677335,219,Damen Ave & Cortland St,86HJW88F%2B93,Excess,19,60647
6,"W Drummond Pl & N Clark St, Chicago, IL",14,41.931248,-87.644336,220,Clark St & Drummond Pl,86HJW9J4%2BF7,Excess,23,60614
5.4,"N Rockwell St & N Milwaukee Ave, Chicago, IL",9,41.92019556,-87.6926592,222,Milwaukee Ave & Rockwell St,86HJW8C4%2B3W,Sufficient Quantity,19,60647
3.9,"N Clifton Ave & W Armitage Ave, Chicago, IL",5,41.918216,-87.656936,223,Clifton Ave & Armitage Ave,86HJW89V%2B76,Deficit,15,60614
3.3,"W Willow St & N Halsted St, Chicago, IL",1,41.913865,-87.648755,224,Halsted St & Willow St,86HJW972%2BGF,Deficit,19,60614
3.8,"W Dickens Ave & N Halsted St, Chicago, IL",2,41.919936,-87.64883,225,Halsted St & Dickens Ave,86HJW992%2BXF,Deficit,23,60614
6.2,"N Racine Ave & W Belmont Ave, Chicago, IL",8,41.939743,-87.658865,226,Racine Ave & Belmont Ave,86HJW8QR%2BVF,Sufficient Quantity,15,60657
6.6,"N Southport Ave & W Waveland Ave, Chicago, IL",1,41.94815,-87.66394,227,Southport Ave & Waveland Ave,86HJW8XP%2B7C,Deficit,23,60613
5.9,"W Melrose St & N Damen Ave, Chicago, IL",7,41.9406,-87.6785,228,Damen Ave & Melrose Ave,86HJW8RC%2B6J,Sufficient Quantity,15,60618
6.3,"N Southport Ave & W Roscoe St, Chicago, IL",5,41.943739,-87.66402,229,Southport Ave & Roscoe St,86HJW8VP%2BF9,Deficit,19,60657
4.6,"W Webster Ave & N Wood St, Chicago, IL",13,41.92105673,-87.67279744,230,Wood St & Webster Ave,86HJW8CG%2BCV,Excess,19,60614
8,"W Montrose Ave & N Sheridan Rd, Chicago, IL",9,41.96167,-87.65464,231,Sheridan Rd & Montrose Ave,86HJX86W%2BM4,Deficit,23,60613
7.5,"N Pine Grove Ave & W Waveland Ave, Chicago, IL",23,41.94947274,-87.64645279,232,Pine Grove Ave & Waveland Ave,86HJW9X3%2BQC,Excess,23,60613
1.4,"W Washington Blvd & N Sangamon St, Chicago, IL",1,41.883165,-87.6511,233,Sangamon St & Washington Blvd,86HJV8MX%2B7H,Deficit,15,60607
7.4,"W Montrose Ave & N Clark St, Chicago, IL",9,41.961588,-87.666036,234,Clark St & Montrose Ave,86HJX86M%2BJH,Sufficient Quantity,19,60613
3.4,"W Schiller St & N Sedgwick St, Chicago, IL",1,41.907626,-87.638566,236,Sedgwick St & Schiller St,86HJW956%2B3H,Deficit,15,60610
3.2,"King Drive & 29th Street, Chicago, IL",8,41.842052,-87.617,237,MLK Jr Dr & 29th St,86HJR9RM%2BR5,Deficit,19,60616
7.8,"Wolcott Tap, 1834 W Montrose Ave, Chicago, IL",0,41.961406,-87.676169,238,Wolcott (Ravenswood) Ave & Montrose Ave,86HJX86F%2BHG,Deficit,15,60613
7.9,"N Western Ave & W Leland Ave, Chicago, IL",17,41.9663998,-87.68870428,239,Western Ave & Leland Ave,86HJX886%2BHG,Excess,19,60625
7.5,"N Sheridan Rd & W Irving Park Rd, Chicago, IL",12,41.954245,-87.654406,240,Sheridan Rd & Irving Park Rd,86HJX83W%2BM6,Sufficient Quantity,27,60613
0.6,"Divvy, Morgan St & Polk St, Chicago, IL",15,41.871737,-87.65103,241,Morgan St & Polk St,86HJV8CX%2BMH,Excess,19,60607
7.7,"N Damen Ave & W Leland Ave, Chicago, IL",11,41.967094,-87.679028,242,Damen Ave & Leland Ave,86HJX88C%2BR9,Excess,15,60625
7.6,"N Lincoln Ave & W Sunnyside Ave, Chicago, IL",4,41.963004,-87.684781,243,Lincoln Ave & Sunnyside Ave,86HJX878%2B63,Deficit,15,60618
7,"N Ravenswood Ave & W Irving Park Rd, Chicago, IL",5,41.95469,-87.67393,244,Ravenswood Ave & Irving Park Rd,86HJX83G%2BVC,Deficit,19,60613
8.8,"N Clarendon Ave & W Junior Terrace, Chicago, IL",19,41.961004,-87.649603,245,Clarendon Ave & Junior Ter,86HJX962%2BC5,Excess,23,60613
6.9,"W Belle Plaine Ave & Ashland Ave, Chicago, IL",7,41.956057,-87.668835,246,Ashland Ave & Belle Plaine Ave,86HJX84J%2BCF,Excess,11,60613
7.3,"S Shore Dr & E 55th St, Chicago, IL",16,41.795212,-87.580715,247,Shore Dr & 55th St,86HJQCW9%2B3P,Excess,19,60615
7.5,"S Woodlawn Ave & E 55th St, Chicago, IL",18,41.795264,-87.596471,248,Woodlawn Ave & 55th St,86HJQCW3%2B4C,Excess,19,60637
9.2,"W Montrose Harbor Dr, Chicago, IL",23,41.963982,-87.638181,249,Montrose Harbor,86HJX976%2BHP,Excess,31,60640
5.5,"W Wellington Ave & Ashland Ave, Chicago, IL",3,41.936083,-87.669807,250,Ashland Ave & Wellington Ave,86HJW8PJ%2BC3,Deficit,19,60657
9,"N Clarendon Ave & W Leland Ave, Chicago, IL",5,41.967968,-87.650001,251,Clarendon Ave & Leland Ave,86HJX89X%2B5X,Deficit,15,60640
6.3,"S Greenwood Ave & E 47th St, Chicago, IL",9,41.809835,-87.599383,252,Greenwood Ave & 47th St,86HJRC52%2BW6,Excess,15,60653
8.4,"N Winthrop Ave & W Lawrence Ave, Chicago, IL",10,41.968812,-87.657659,253,Winthrop Ave & Lawrence Ave,86HJX89R%2BGW,Excess,15,60640
8.1,"N Pine Grove Ave & Irving Park Rd, Chicago, IL",9,41.954383,-87.648043,254,Pine Grove Ave & Irving Park Rd,86HJX932%2BQQ,Excess,15,60613
1.3,"Roosevelt Rd & S Indiana Ave, Chicago, IL",12,41.867888,-87.623041,255,Indiana Ave & Roosevelt Rd,86HJV99G%2B5Q,Deficit,39,60605
11.5,"N Broadway & N Sheridan Rd, Chicago, IL",0,41.952833,-87.649993,256,Broadway & Sheridan Rd,86HJX932%2B42,Deficit,15,60626
6.5,"N Lincoln Ave & W Waveland Ave, Chicago, IL",7,41.948797,-87.675278,257,Lincoln Ave & Waveland Ave,86HJW8XF%2BGV,Sufficient Quantity,15,60613
5.5,"N Elston Ave & W Logan Blvd, Chicago, IL",26,41.929465,-87.684158,258,Logan Blvd & Elston Ave,86HJW8H8%2BQ8,Excess,27,60647
5.8,"Divvy, California Ave & Francis Pl (Temp), Chicago, IL",0,41.91849115,-87.6974228,259,California Ave & Francis Pl (Temp),86HJW893%2B92,Deficit,15,60647
6.7,"N Kedzie Ave & N Milwaukee Ave, Chicago, IL",21,41.929567,-87.707857,260,Kedzie Ave & Milwaukee Ave,86HJW7HR%2BRV,Excess,35,60647
1.6,"S Hermitage Ave & W Polk St, Chicago, IL",10,41.871514,-87.669886,261,Hermitage Ave & Polk St,86HJV8CJ%2BJ2,Excess,15,60612
2.6,"W 37th St & S Halsted St, Chicago, IL",11,41.827059,-87.64572,262,Halsted St & 37th St,86HJR9G3%2BRP,Excess,11,60609
3.6,"E 32nd St & S Rhodes Ave, Chicago, IL",8,41.836208,-87.613533,263,Rhodes Ave & 32nd St,86HJR9PP%2BFH,Excess,11,60616
2.7,"N Stetson Ave & East South Water Street, Chicago, IL",5,41.886835,-87.62232,264,Stetson Ave & South Water St,86HJV9PH%2BP3,Deficit,19,60601
4.9,"E Oakwood Blvd & S Cottage Grove Ave, Chicago, IL",5,41.822985,-87.6071,265,Cottage Grove Ave & Oakwood Blvd,86HJR9FV%2B55,Deficit,15,60653
6,"S Lake Park Ave & E 47th St, Chicago, IL",7,41.809443,-87.591875,267,Lake Park Ave & 47th St,86HJRC55%2BQ6,Sufficient Quantity,15,60615
2.4,"S DuSable Lake Shore Dr., Chicago, IL",6,41.911722,-87.626804,268,DuSable Lake Shore Dr & North Blvd,86HJW96F%2BM7,Deficit,39,60605
11,"S Stony Is Ave & E 75th St, Chicago, IL",11,41.75866967,-87.58688287,270,Stony Island Ave & 75th St,86HJQC57%2BF6,Excess,11,60649
5.3,"S Cottage Grove Ave & E 43rd St, Chicago, IL",9,41.816499,-87.606582,271,Cottage Grove Ave & 43rd St,86HJR98V%2BH9,Excess,11,60653
2.9,"S Indiana Ave & E 31st St, Chicago, IL",4,41.838842,-87.621857,272,Indiana Ave & 31st St,86HJR9QH%2BG7,Deficit,11,60616
,"Michigan Ave & E 18th St, Chicago, IL",8,41.857813,-87.62455,273,Michigan Ave & 18th St,86HJV95G%2B45,Deficit,23,60616
0.8,"S Racine Ave & W 15th St, Chicago, IL",9,41.861267,-87.656625,274,Racine Ave & 15th St,86HJV86V%2BG8,Excess,15,60608
,"13th St & Ashland Ave, Wilmette, IL",11,41.865234,-87.666507,275,Ashland Ave & 13th St,86HJV88M%2B39,Excess,15,60091
5.8,"W North Ave & N California Ave, Chicago, IL",7,41.9104754,-87.6968944,276,California Ave & North Ave,86HJW863%2B56,Excess,11,60647
2.8,"W Grand Ave & Ashland Ave, Chicago, IL",14,41.891072,-87.666611,277,Ashland Ave & Grand Ave,86HJV8RM%2BC9,Excess,15,60642
2.7,"W 35th St & S Wallace St, Chicago, IL",9,41.83070705,-87.64125533,278,Wallace St & 35th St,86HJR9J5%2B7F,Excess,15,60616
2.4,"W 35th St & S Halsted St, Chicago, IL",4,41.830661,-87.647172,279,Halsted St & 35th St,86HJR9J3%2B74,Deficit,15,60608
2.2,"S Morgan St & W 31st St, Chicago, IL",3,41.8378,-87.65114,280,Morgan St & 31st St,86HJR8QX%2B4G,Deficit,11,60608
3.1,"W 24th St & S Western Ave, Chicago, IL",6,41.84847,-87.685109,281,Western Ave & 24th St,86HJR8X7%2B9X,Excess,7,60608
0.1,"W Maxwell St & S Halsted St, Chicago, IL",14,41.864883,-87.647071,282,Halsted St & Maxwell St,86HJV973%2BX5,Excess,15,60607
1.6,"Jackson Blvd & S La Salle St, Chicago, IL",30,41.878166,-87.631929,283,LaSalle St & Jackson Blvd,86HJV9H9%2B76,Excess,35,60604
2,"Michigan Ave & Jackson Blvd, Chicago, IL",3,41.87785,-87.62408,284,Michigan Ave & Jackson Blvd,86HJV9HG%2B49,Deficit,23,60604
2.9,"N Wood St & W Hubbard St, Chicago, IL",18,41.889899,-87.671473,285,Wood St & Hubbard St,86HJV8QH%2BXC,Excess,19,60622
1.7,"The Franklin, 222 W Adams St, Chicago, IL",7,41.87943409,-87.63550401,286,Franklin St & Adams St (Temp),86HJV9H7%2BQQ,Sufficient Quantity,15,60606
1.6,"W Monroe St & S Franklin St, Chicago, IL",8,41.880317,-87.635185,287,Franklin St & Monroe St,86HJV9J7%2B4W,Deficit,31,60606
3.9,"N Larrabee St & W Armitage Ave, Chicago, IL",1,41.918084,-87.643749,288,Larrabee St & Armitage Ave,86HJW994%2B6G,Deficit,15,60614
3.9,"N Wells St & W Concord Ln, Chicago, IL",11,41.912133,-87.634656,289,Wells St & Concord Ln,86HJW968%2BV4,Excess,19,60614
6.3,"W Palmer Ct & N Kedzie Blvd, Chicago, IL",2,41.921525,-87.707322,290,Kedzie Ave & Palmer Ct,86HJW7CV%2BJ3,Deficit,15,60647
3.5,"N Wells St & W Evergreen Ave, Chicago, IL",15,41.906724,-87.63483,291,Wells St & Evergreen Ave,86HJW948%2BM3,Excess,19,60610
7.2,"N Southport Ave & N Clark St, Chicago, IL",2,41.957081,-87.664199,292,Southport Ave & Clark St,86HJX84P%2BR8,Deficit,11,60613
8.1,"Wilson & Broadway, Chicago, IL",4,41.965221,-87.658139,293,Broadway & Wilson - Truman College Vaccination Site,86HJX88R%2B3P,Deficit,23,60640
10.2,"W Berwyn Ave & N Broadway, Chicago, IL",4,41.978353,-87.659753,294,Broadway & Berwyn Ave,86HJX8HR%2B83,Deficit,15,60640
8.6,"W Argyle St & N Broadway, Chicago, IL",8,41.973815,-87.65966,295,Broadway & Argyle St,86HJX8FR%2BG4,Deficit,19,60640
7.3,"N Paulina St & W Montrose Ave, Chicago, IL",3,41.961507,-87.671387,297,Paulina St & Montrose Ave,86HJX86H%2BJC,Deficit,15,60613
7,"N Lincoln Ave & W Belle Plaine Ave, Chicago, IL",8,41.95600355,-87.68016145,298,Lincoln Ave & Belle Plaine Ave,86HJX849%2BCW,Sufficient Quantity,15,60618
6.7,"W Roscoe St & N Halsted St, Chicago, IL",7,41.94367,-87.64895,299,Halsted St & Roscoe St,86HJW9V2%2BFC,Sufficient Quantity,15,60657
6.5,"W Barry Ave & N Broadway, Chicago, IL",3,41.93758232,-87.64409781,300,Broadway & Barry Ave,86HJW9Q4%2B29,Deficit,19,60657
4.1,"W Schiller St & N Clark St, Chicago, IL",0,41.907993,-87.631501,301,Clark St & Schiller St,86HJW959%2B59,Deficit,19,60610
5.4,"N Sheffield Ave & W Wrightwood Ave, Chicago, IL",0,41.928712,-87.653833,302,Sheffield Ave & Wrightwood Ave,86HJW8HW%2BFF,Deficit,31,60614
7.3,"W Cornelia Ave & N Broadway, Chicago, IL",20,41.945529,-87.646439,303,Broadway & Cornelia Ave,86HJW9W3%2B6C,Excess,23,60657
7.1,"W Waveland Ave & N Broadway, Chicago, IL",11,41.949074,-87.648636,304,Broadway & Waveland Ave,86HJW9X2%2BJG,Excess,15,60613
4.2,"N Western Ave & W Division St, Chicago, IL",7,41.902893,-87.687275,305,Western Ave & Division St,86HJW837%2B53,Deficit,23,60622
7.8,"W Buena Ave & N Sheridan Rd, Chicago, IL",11,41.958494,-87.654966,306,Sheridan Rd & Buena Ave,86HJX85W%2B92,Excess,19,60613
4.8,"N Southport Ave & N Clybourn Ave, Chicago, IL",2,41.920771,-87.663712,307,Southport Ave & Clybourn Ave,86HJW8CP%2B8G,Deficit,15,60614
6.2,"W Roscoe St & N Seeley Ave, Chicago, IL",9,41.943403,-87.679618,308,Seeley Ave & Roscoe St,86HJW8VC%2B95,Excess,11,60618
4.8,"N Leavitt St & W Armitage Ave, Chicago, IL",3,41.917805,-87.682437,309,Leavitt St & Armitage Ave,86HJW899%2B42,Deficit,11,60647
4.9,"W Charleston St & N Damen Ave, Chicago, IL",8,41.920082,-87.677855,310,Damen Ave & Charleston St,86HJW8CC%2B2V,Excess,11,60647
8.1,"N Leavitt St & W Lawrence Ave, Chicago, IL",2,41.968885,-87.684001,311,Leavitt St & Lawrence Ave,86HJX898%2BH9,Deficit,19,60625
8,"W Gordon Terrace & N Clarendon Ave, Chicago, IL",13,41.95786652,-87.64950514,312,Clarendon Ave & Gordon Ter,86HJX952%2B45,Excess,15,60613
5.9,"W Fullerton Pkwy & N Lakeview Ave, Chicago, IL",10,41.925858,-87.638973,313,Lakeview Ave & Fullerton Pkwy,86HJW9G6%2B8C,Sufficient Quantity,19,60614
7.3,"N Ravenswood Ave & W Berteau Ave, Chicago, IL",13,41.957921,-87.673567,314,Ravenswood Ave & Berteau Ave,86HJX85G%2B5H,Excess,15,60613
3.9,"N Elston Ave & W Wabansia Ave, Chicago, IL",23,41.912919,-87.664169,315,Elston Ave & Wabansia Ave,86HJW87P%2B58,Excess,23,60642
7.5,"N Damen Ave & W Sunnyside Ave, Chicago, IL",15,41.96325,-87.679258,316,Damen Ave & Sunnyside Ave,86HJX87C%2B87,Excess,19,60640
1.6,"Divvy, Wood St & Taylor St (Temp), Chicago, IL",6,41.86926522,-87.67373085,317,Wood St & Taylor St (Temp),86HJV89G%2BPG,Deficit,23,60612
7,"N Southport Ave & Irving Park Rd, Chicago, IL",12,41.954177,-87.664358,318,Southport Ave & Irving Park Rd,86HJX83P%2BM7,Excess,15,60613
5.4,"W Diversey Pkwy & N Greenview Ave, Chicago, IL",14,41.93258963,-87.66593635,319,Greenview Ave & Diversey Pkwy,86HJW8MM%2B2J,Excess,15,60614
1.2,"W Lexington St & S Loomis St, Chicago, IL",12,41.872187,-87.661501,320,Loomis St & Lexington St,86HJV8CQ%2BV9,Excess,19,60607
1.4,"E 9th St & S Wabash Ave, Chicago, IL",14,41.870769,-87.625734,321,Wabash Ave & 9th St,86HJV9CF%2B8P,Excess,19,60605
7.3,"S Kimbark Ave & E 53rd St, Chicago, IL",13,41.799568,-87.594747,322,Kimbark Ave & 53rd St,86HJQCX4%2BR4,Excess,19,60615
9.4,"W Lawrence Ave & N Sheridan Rd, Chicago, IL",3,41.969517,-87.654691,323,Sheridan Rd & Lawrence Ave,86HJX89W%2BR4,Deficit,15,60640
5.9,"Stockton & Wrightwood, Chicago, IL",14,41.93132,-87.638742,324,Stockton Dr & Wrightwood Ave,86HJW9J6%2BGG,Excess,15,60614
8.2,"W Winnemac Ave & N Clark St, Chicago, IL",16,41.97334764,-87.66785547,325,Clark St & Winnemac Ave,86HJX8FJ%2B8V,Excess,19,60640
7.8,"W Leland Ave & N Clark St, Chicago, IL",2,41.96705643,-87.66699046,326,Clark St & Leland Ave,86HJX88M%2BR6,Deficit,19,60640
4.9,"N Sheffield Ave & W Webster Ave, Chicago, IL",4,41.92154,-87.653818,327,Sheffield Ave & Webster Ave,86HJW8CW%2BJF,Deficit,19,60614
7.4,"S Ellis Ave & E 58th St, Chicago, IL",12,41.788746,-87.601334,328,Ellis Ave & 58th St,86HJQ9QX%2BFF,Excess,19,60637
6.1,"DuSable Lake Shore Dr & Diversey Pkwy, Chicago, IL",5,41.932588,-87.636427,329,DuSable Lake Shore Dr & Diversey Pkwy,86HJW9M7%2B2C,Deficit,23,60614
6.3,"N Lincoln Ave & W Addison St, Chicago, IL",7,41.946176,-87.673308,330,Lincoln Ave & Addison St,86HJW8WG%2BFM,Deficit,19,60613
3.1,"N Clybourn Ave & N Halsted St, Chicago, IL",8,41.909668,-87.648128,331,Halsted St & Clybourn Ave,86HJW952%2BVP,Deficit,27,60610
4.7,"W Diversey Pkwy & N Burling St, Chicago, IL",15,41.93314,-87.64776,332,Burling St & Diversey Pkwy,86HJW9M2%2B7V,Excess,19,60614
4,"W Blackhawk St & Ashland Ave, Chicago, IL",6,41.907066,-87.667252,333,Ashland Ave & Blackhawk St,86HJW84M%2BR3,Deficit,15,60622
,"Lake Shore Drive & Belmont, Chicago, IL",15,41.940775,-87.639192,334,DuSable Lake Shore Dr & Belmont Ave,86HJW9R6%2B88,Excess,19,60657
3.8,"E 35th St & S Calumet Ave, Chicago, IL",2,41.831379,-87.618034,335,Calumet Ave & 35th St,86HJR9JJ%2BHQ,Deficit,15,60616
5.8,"S Cottage Grove Ave & E 47th St, Chicago, IL",2,41.809855,-87.606755,336,Cottage Grove Ave & 47th St,86HJR95V%2BW7,Deficit,15,60615
3.4,"W Chicago Ave & N Clark St, Chicago, IL",13,41.89675,-87.63089,337,Clark St & Chicago Ave,86HJV9W9%2BMJ,Excess,19,60610
2,"E 18th St & S Calumet Ave, Chicago, IL",7,41.857611,-87.619407,338,Calumet Ave & 18th St,86HJV95J%2B26,Sufficient Quantity,15,60616
2,"S Emerald Ave & W 31st St, Chicago, IL",5,41.838198,-87.645143,339,Emerald Ave & 31st St,86HJR9Q3%2B7W,Sufficient Quantity,11,60616
6,"W Wrightwood Ave & N Clark St, Chicago, IL",14,41.929546,-87.643118,340,Clark St & Wrightwood Ave,86HJW9H4%2BRQ,Excess,15,60614
2.3,"Adler Planetarium, 1300 S DuSable Lake Shore Dr., Chicago, IL",18,41.866095,-87.607267,341,Adler Planetarium,86HJV98V%2BC3,Sufficient Quantity,39,60605
1.8,"S Wolcott Ave & W Polk St, Chicago, IL",15,41.871262,-87.673688,342,Wolcott Ave & Polk St,86HJV8CG%2BGG,Excess,23,60612
4.6,"N Racine Ave & W Wrightwood Ave, Chicago, IL",0,41.928887,-87.658971,343,Racine Ave & Wrightwood Ave,86HJW8HR%2BHC,Deficit,15,60614
8,"N Ravenswood Ave & W Lawrence Ave, Chicago, IL",32,41.96909,-87.674237,344,Ravenswood Ave & Lawrence Ave,86HJX89G%2BJ8,Excess,47,60640
7.5,"S Lake Park Ave & E 56th St, Chicago, IL",9,41.793242,-87.587782,345,Lake Park Ave & 56th St,86HJQCV6%2B7V,Sufficient Quantity,19,60637
1.9,"W Washington Blvd & N Ada St, Chicago, IL",11,41.88283,-87.661206,346,Ada St & Washington Blvd,86HJV8MQ%2B4G,Excess,15,60607
6.5,"W Grace St & Ashland Ave, Chicago, IL",7,41.950687,-87.6687,347,Ashland Ave & Grace St,86HJX82J%2B7G,Sufficient Quantity,15,60613
3.3,"S California Ave & W 21st St, Chicago, IL",5,41.85380407,-87.6957424,348,California Ave & 21st St,86HJV833%2BGP,Deficit,15,60608
5.7,"W Wrightwood Ave & N Halsted St, Chicago, IL",13,41.929143,-87.649077,349,Halsted St & Wrightwood Ave,86HJW9H2%2BM9,Excess,15,60614
3.1,"W Chicago Ave & Ashland Ave, Chicago, IL",14,41.89517271,-87.66754702,350,Ashland Ave & Chicago Ave,86HJV8WJ%2B3X,Excess,15,60622
6,"E 51st St & S Cottage Grove Ave, Chicago, IL",13,41.803038,-87.606615,351,Cottage Grove Ave & 51st St,86HJR93V%2B69,Excess,15,60615
8.7,"S Jeffery Blvd & E 67th St, Chicago, IL",6,41.77351755,-87.57714283,352,Jeffery Blvd & 67th St,86HJQCFF%2BC4,Sufficient Quantity,11,60649
13.1,"N Clark St & Touhy Ave, Chicago, IL",10,42.01256012,-87.67436712,353,Clark St & Touhy Ave,86JJ287G%2B27,Excess,15,60626
12.2,"W Greenleaf Ave & N Sheridan Rd, Chicago, IL",3,42.01058656,-87.6624121,354,Sheridan Rd & Greenleaf Ave,86JJ286Q%2B62,Deficit,15,60626
8.9,"E 67th St, Chicago, IL",14,41.773643,-87.567514,355,South Shore Dr & 67th St,86HJQCFJ%2BFX,Excess,15,60637
9.4,"S Stony Is Ave & E 71st St, Chicago, IL",3,41.76649294,-87.58646088,356,Stony Island Ave & 71st St,86HJQC87%2BHC,Deficit,11,60649
2.9,"N Larrabee St & W Division St, Chicago, IL",20,41.90348607,-87.64335349,359,Larrabee St & Division St,86HJW934%2B9M,Excess,23,60610
2.6,"W Oak St & N Larrabee St, Chicago, IL",18,41.90021949,-87.64298547,364,Larrabee St & Oak St,86HJW924%2B3R,Excess,19,60610
2.3,"N North Branch St & N Halsted St, Chicago, IL",3,41.89939029,-87.64854491,365,Halsted St & North Branch St,86HJV9X2%2BQH,Deficit,15,60642
2,"S Archer Ave & S Loomis St, Chicago, IL",11,41.84163254,-87.65743495,366,Loomis St & Archer Ave,86HJR8RV%2BM2,Excess,11,60608
2.9,"W 35th St & S Racine Ave, Chicago, IL",1,41.83068857,-87.65621066,367,Racine Ave & 35th St,86HJR8JV%2B7G,Deficit,15,60608
2.5,"S Archer Ave & Ashland Ave, Chicago, IL",13,41.83920868,-87.66560986,368,Ashland Ave & Archer Ave,86HJR8QM%2BMQ,Excess,15,60608
3.1,"W 35th St & S Wood St, Chicago, IL",5,41.83010465,-87.67029831,369,Wood St & 35th St,86HJR8JH%2B2V,Sufficient Quantity,11,60609
2.2,"E 21st St & S Calumet Ave, Chicago, IL",0,41.85418425,-87.61915374,370,Calumet Ave & 21st St,86HJV93J%2BM8,Deficit,15,60616
4.9,"N Kedzie Ave & W Chicago Ave, Chicago, IL",6,41.8954653,-87.70612788,373,Kedzie Ave & Chicago Ave,86HJV7WV%2B5G,Sufficient Quantity,11,60622
4.3,"W Walton St & N Western Ave, Chicago, IL",21,41.89841769,-87.68659602,374,Western Ave & Walton St,86HJV8X7%2B99,Excess,23,60622
